AoS,SoA,Speedup
73.66,51.04,1.44
58.82,40.92,1.44
17.62,14.23,1.24
30.48,24.35,1.25
37.70,27.47,1.37
38.95,27.77,1.40
38.69,27.72,1.40
25.30,20.14,1.26
118.87,86.08,1.38
156.59,117.29,1.34
20.24,15.20,1.33
91.23,74.35,1.23
122.50,94.72,1.29
47.71,32.66,1.46
39.90,26.49,1.51
33.21,24.02,1.38
29.47,21.77,1.35
30.59,23.33,1.31
56.73,45.51,1.25
21.96,16.52,1.33
24.25,16.30,1.49
65.63,50.44,1.30
40.49,29.65,1.37
15.10,11.36,1.33
82.32,59.47,1.38
55.47,40.71,1.36
19.11,13.38,1.43
23.13,17.29,1.34
34.36,24.15,1.42
35.46,27.33,1.30
45.89,33.31,1.38
13.90,10.68,1.30
95.11,65.85,1.44
54.69,41.23,1.33
92.51,73.15,1.26
89.63,66.57,1.35
15.51,11.19,1.39
35.98,25.42,1.42
41.27,29.43,1.40
76.62,56.31,1.36
31.02,21.99,1.41
186.90,143.99,1.30
38.17,28.99,1.32
45.55,33.22,1.37
245.97,191.97,1.28
40.50,29.70,1.36
42.76,31.17,1.37
40.94,29.64,1.38
109.55,77.58,1.41
36.95,27.32,1.35
51.12,37.16,1.38
24.27,17.36,1.40
26.53,18.86,1.41
16.48,12.66,1.30
35.29,27.27,1.29
61.73,44.96,1.37
20.87,14.92,1.40
18.61,13.92,1.34
18.95,13.94,1.36
22.67,15.82,1.43
41.59,29.86,1.39
61.16,45.38,1.35
70.99,54.44,1.30
32.10,24.70,1.30
40.59,29.84,1.36
67.33,53.44,1.26
43.88,32.73,1.34
17.53,11.54,1.52
130.47,99.45,1.31
82.96,60.94,1.36
23.07,16.39,1.41
66.84,53.47,1.25
20.84,15.02,1.39
38.92,28.61,1.36
40.38,30.31,1.33
29.43,21.02,1.40
85.55,68.55,1.25
29.69,21.43,1.39
57.48,37.84,1.52
54.76,38.45,1.42
13.60,10.65,1.28
48.89,39.07,1.25
95.55,74.85,1.28
30.02,22.05,1.36
21.69,15.69,1.38
80.63,57.20,1.41
38.97,28.78,1.35
57.78,44.48,1.30
25.64,19.20,1.34
93.68,66.00,1.42
45.71,33.36,1.37
128.29,99.24,1.29
42.49,33.75,1.26
64.35,46.29,1.39
48.63,35.26,1.38
94.09,75.82,1.24
48.25,38.29,1.26
21.62,17.10,1.26
44.39,31.22,1.42
65.35,44.50,1.47
22.00,18.12,1.21
22.92,17.84,1.28
49.16,36.95,1.33
23.34,18.40,1.27
38.56,28.59,1.35
295.50,231.16,1.28
19.07,13.79,1.38
16.23,11.90,1.36
17.15,12.65,1.36
54.44,40.78,1.34
17.80,13.26,1.34
85.41,61.40,1.39
70.07,49.95,1.40
18.28,14.93,1.22
25.62,19.70,1.30
61.92,47.20,1.31
150.78,114.83,1.31
22.55,15.78,1.43
21.90,15.71,1.39
27.98,20.39,1.37
73.65,61.10,1.21
44.36,34.21,1.30
24.81,18.27,1.36
55.13,40.12,1.37
31.34,23.40,1.34
21.72,16.22,1.34
19.37,14.23,1.36
17.37,13.07,1.33
24.17,15.81,1.53
17.11,13.29,1.29
15.94,10.97,1.45
37.81,26.97,1.40
33.56,25.52,1.32
35.22,25.57,1.38
16.24,12.18,1.33
28.47,21.34,1.33
51.92,40.39,1.29
55.89,38.14,1.47
84.08,68.95,1.22
13.63,10.65,1.28
37.90,29.57,1.28
20.09,13.67,1.47
13.86,11.28,1.23
45.71,34.61,1.32
48.78,36.54,1.33
37.79,27.14,1.39
15.50,11.63,1.33
23.01,18.06,1.27
48.27,33.99,1.42
98.40,68.62,1.43
59.06,39.27,1.50
30.54,21.49,1.42
28.78,21.80,1.32
15.68,11.46,1.37
22.45,15.32,1.46
36.91,27.93,1.32
28.03,21.19,1.32
67.02,46.87,1.43
18.00,13.93,1.29
44.99,32.14,1.40
44.45,33.00,1.35
33.16,21.11,1.57
66.11,50.83,1.30
50.01,38.83,1.29
73.73,51.29,1.44
30.12,22.36,1.35
50.16,38.12,1.32
31.56,24.14,1.31
145.66,113.04,1.29
25.08,19.42,1.29
80.40,59.14,1.36
123.46,104.11,1.19
144.88,118.37,1.22
145.18,119.32,1.22
32.38,21.27,1.52
16.88,13.56,1.24
42.80,26.65,1.61
74.64,47.39,1.57
43.43,33.56,1.29
253.07,194.45,1.30
108.69,88.94,1.22
27.79,21.61,1.29
12.42,10.16,1.22
101.14,75.12,1.35
67.50,50.35,1.34
29.77,21.19,1.41
40.52,27.40,1.48
22.52,17.53,1.28
26.47,20.27,1.31
99.86,74.79,1.34
47.55,35.33,1.35
18.01,13.19,1.37
139.51,110.26,1.27
21.05,14.78,1.42
84.59,62.53,1.35
,average,1.35
,stddev,0.08
